job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Senior Full Stack Developer,"full stack development, frontend, backend, databases, api integration",Web,"javascript, react, node js, sql or mongodb, rest apis, deployment basics",High,Advanced
Principal Full Stack Developer,"full stack development, frontend, backend, databases, api integration",Web,"javascript, react, node js, sql or mongodb, rest apis, deployment basics",High,Advanced
Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Intermediate
Assistant Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Beginner
Junior Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Beginner
Lead Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Advanced
Senior Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Advanced
Principal Game Developer,"game development, gameplay logic, unity, unreal engine, debugging",Creative,"unity or unreal engine, c sharp or c plus plus, gameplay programming, physics integration, bug fixing, asset integration",Medium,Advanced
Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Advanced
Assistant Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Beginner
Junior Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Beginner
Lead Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Advanced
Senior Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Advanced
Principal Gastroenterologist,"gastroenterology, digestive disorders, endoscopy, patient diagnosis, treatment planning",Healthcare,"endoscopy, digestive disorder diagnosis, treatment planning, patient consultation, lab interpretation, chronic disease management",Medium,Advanced
General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Advanced
Assistant General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Beginner
Junior General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Beginner
Lead General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Advanced
Senior General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Advanced
Principal General Physician,"general medicine, patient diagnosis, treatment planning, preventive care, clinical evaluation",Healthcare,"clinical diagnosis, prescription management, patient consultation, medical record keeping, preventive care, treatment planning",High,Advanced
Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Advanced
Assistant Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Beginner
Junior Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Beginner
Lead Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Advanced
Senior Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Advanced
Principal Gynecologist,"gynecology, womens health, reproductive care, prenatal care, patient consultation",Healthcare,"gynecological examination, prenatal care, patient diagnosis, reproductive health treatment, ultrasound interpretation, case management",High,Advanced
Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Beginner
Assistant Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Beginner
Junior Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Beginner
Lead Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Advanced
Senior Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Advanced
Principal Health Educator,"health education, community outreach, wellness programs, counseling, awareness campaigns",Education,"health communication, training delivery, community engagement, program planning, educational material development, counseling",Medium,Advanced
Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Beginner
Assistant Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Beginner
Junior Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Beginner
Lead Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Advanced
Senior Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Advanced
Principal Home Health Aide,"patient support, home care, daily living assistance, hygiene care, elderly assistance",Healthcare,"patient assistance, hygiene support, mobility support, home care routines, communication, basic health observation",Medium,Advanced
Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Intermediate
Assistant Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Beginner
Junior Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Beginner
Lead Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Advanced
Senior Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Advanced
Principal Hospital Administrator,"hospital operations, healthcare management, compliance, budgeting, staff coordination",Business,"hospital operations management, staff coordination, healthcare compliance, budgeting, patient workflow management, reporting",High,Advanced
IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Intermediate
Assistant IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Beginner
Junior IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Beginner
Lead IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Advanced
Senior IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Advanced
Principal IT Consultant,"it consulting, solution planning, business analysis, system evaluation, stakeholder management",Business,"requirement analysis, solution design, stakeholder communication, process improvement, technology evaluation, documentation",High,Advanced
IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Advanced
Assistant IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Beginner
Junior IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Beginner
Lead IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Advanced
Senior IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Advanced
Principal IT Manager,"it management, team leadership, infrastructure planning, vendor coordination, operations",Business,"team management, it operations, project planning, vendor management, service delivery, risk management",High,Advanced
Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Advanced
Assistant Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Beginner
Junior Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Beginner
Lead Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Advanced
Senior Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Advanced
Principal Immunologist,"immunology, immune disorders, laboratory interpretation, patient diagnosis, treatment planning",Healthcare,"immune system assessment, diagnostic interpretation, laboratory correlation, treatment planning, patient care, clinical documentation",Medium,Advanced
Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Intermediate
Assistant Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Beginner
Junior Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Beginner
Lead Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Advanced
Senior Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Advanced
Principal Machine Learning Engineer,"machine learning, model deployment, feature engineering, python, mlops",AI,"python, scikit learn, tensorflow or pytorch, feature engineering, model deployment, pipeline automation",High,Advanced
Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Beginner
Assistant Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Beginner
Junior Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Beginner
Lead Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Advanced
Senior Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Advanced
Principal Medical Assistant,"clinical assistance, patient intake, vitals monitoring, appointment support, medical records",Healthcare,"patient intake, vital signs monitoring, appointment coordination, medical record handling, basic clinical assistance, communication",High,Advanced
Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Intermediate
Assistant Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Beginner
Junior Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Beginner
Lead Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Advanced
Senior Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Advanced
Principal Medical Laboratory Technician,"lab testing, specimen handling, diagnostic support, pathology assistance, quality control",Healthcare,"sample collection, specimen processing, lab equipment handling, quality control, report preparation, safety protocols",High,Advanced
Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Intermediate
Assistant Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Beginner
Junior Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Beginner
Lead Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Advanced
Senior Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Advanced
Principal Medical Researcher,"medical research, clinical studies, data interpretation, literature review, trial documentation",Healthcare,"research methodology, literature review, clinical data analysis, report writing, protocol compliance, statistical interpretation",Medium,Advanced
Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Intermediate
Assistant Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Beginner
Junior Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Beginner
Lead Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Advanced
Senior Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Advanced
Principal Microbiologist,"microbiology, pathogen analysis, laboratory testing, culture techniques, diagnostics",Healthcare,"microbial culture, microscopy, sample analysis, laboratory safety, report interpretation, diagnostic testing",Medium,Advanced
Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Advanced
Assistant Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Beginner
Junior Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Beginner
Lead Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Advanced
Senior Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Advanced
Principal Midwife,"midwifery, prenatal care, childbirth support, maternal health, newborn care",Healthcare,"antenatal care, labor support, postnatal care, maternal monitoring, newborn assessment, patient counseling",High,Advanced
Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Intermediate
Assistant Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Beginner
Junior Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Beginner
Lead Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Advanced
Senior Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Advanced
Principal Mobile App Developer,"mobile development, android or ios, app architecture, api integration, ui implementation",Web,"flutter or react native, mobile ui development, api integration, app testing, state management, deployment",High,Advanced
Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Intermediate
Assistant Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Beginner
Junior Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Beginner
Lead Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Advanced
Senior Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Advanced
Principal Network Administrator,"network administration, routing, switching, system maintenance, access control",Cloud,"network monitoring, router and switch configuration, user access control, troubleshooting, firewall basics, documentation",High,Advanced
Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Intermediate
Assistant Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Beginner
Junior Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Beginner
Lead Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Advanced
Senior Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Advanced
Principal Network Engineer,"network engineering, routing, switching, network design, troubleshooting",Cloud,"routing and switching, network design, firewall configuration, troubleshooting, lan wan concepts, performance monitoring",High,Advanced
Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Advanced
Assistant Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Beginner
Junior Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Beginner
Lead Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Advanced
Senior Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Advanced
Principal Neurologist,"neurology, nervous system disorders, diagnosis, patient care, treatment planning",Healthcare,"neurological examination, diagnosis, imaging interpretation, treatment planning, patient counseling, case management",High,Advanced
Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Beginner
Assistant Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Beginner
Junior Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Beginner
Lead Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Advanced
Senior Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Advanced
Principal Nurse,"patient care, medication administration, vital signs, clinical support, nursing documentation",Healthcare,"patient monitoring, medication administration, wound care, nursing documentation, communication, infection control",High,Advanced
Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Advanced
Assistant Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Beginner
Junior Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Beginner
Lead Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Advanced
Senior Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Advanced
Principal Nurse Practitioner,"advanced nursing, patient assessment, diagnosis support, treatment management, clinical care",Healthcare,"patient assessment, treatment planning, medication management, clinical documentation, preventive care, care coordination",High,Advanced
Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Beginner
Assistant Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Beginner
Junior Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Beginner
Lead Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Advanced
Senior Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Advanced
Principal Nutritionist,"nutrition, meal planning, wellness counseling, diet assessment, health guidance",Healthcare,"nutrition assessment, meal planning, client counseling, weight management, wellness programs, progress tracking",Medium,Advanced
Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Intermediate
Assistant Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Beginner
Junior Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Beginner
Lead Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Advanced
Senior Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Advanced
Principal Occupational Therapist,"occupational therapy, rehabilitation, functional assessment, patient recovery, therapy planning",Healthcare,"functional assessment, rehabilitation planning, therapy exercises, patient counseling, case documentation, assistive support",Medium,Advanced
Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Advanced
Assistant Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Beginner
Junior Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Beginner
Lead Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Advanced
Senior Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Advanced
Principal Oncologist,"oncology, cancer diagnosis, chemotherapy planning, patient care, treatment monitoring",Healthcare,"cancer diagnosis, treatment planning, chemotherapy management, patient consultation, case review, medical documentation",High,Advanced
Ophthalmologist,"ophthalmology, eye disease diagnosis, vision treatment, surgery planning, patient care",Healthcare,"eye examination, retinal assessment, vision treatment, surgical planning, patient diagnosis, clinical documentation",High,Advanced
Assistant Ophthalmologist,"ophthalmology, eye disease diagnosis, vision treatment, surgery planning, patient care",Healthcare,"eye examination, retinal assessment, vision treatment, surgical planning, patient diagnosis, clinical documentation",High,Beginner
Junior Ophthalmologist,"ophthalmology, eye disease diagnosis, vision treatment, surgery planning, patient care",Healthcare,"eye examination, retinal assessment, vision treatment, surgical planning, patient diagnosis, clinical documentation",High,Beginner
Lead Ophthalmologist,"ophthalmology, eye disease diagnosis, vision treatment, surgery planning, patient care",Healthcare,"eye examination, retinal assessment, vision treatment, surgical planning, patient diagnosis, clinical documentation",High,Advanced
Senior Ophthalmologist,"ophthalmology, eye disease diagnosis, vision treatment, surgery planning, patient care",Healthcare,"eye examination, retinal assessment, vision treatment, surgical planning, patient diagnosis, clinical documentation",High,Advanced
