job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Junior Dietitian,"communication, problem solving, customer service, programming",Education,"project planning, data analysis, design, problem solving, automation, customer service",Medium,Advanced
Lead General Physician,"data analysis, research, python, documentation",Hospitality,"teamwork, design, python, customer service, communication, project planning",High,Beginner
Senior Immunologist,"machine learning, programming, security, problem solving",Misc,"research, security, management, problem solving, project planning, customer service",Medium,Beginner
Lead Clinical Psychologist,"problem solving, design, analytics, documentation",Transport,"problem solving, documentation, python, management, data analysis, communication",High,Beginner
Principal Software Engineer,"customer service, data analysis, project planning, automation",Misc,"automation, documentation, communication, customer service, security, design",High,Intermediate
Lead Database Administrator,"research, programming, cloud computing, communication",IT,"documentation, automation, security, project planning, customer service, machine learning",High,Intermediate
Senior Systems Analyst,"documentation, cloud computing, analytics, teamwork",Construction,"automation, management, design, research, communication, documentation",Medium,Advanced
Principal Microbiologist,"teamwork, programming, python, research",Engineering,"networking, security, cloud computing, teamwork, problem solving, machine learning",Medium,Beginner
Assistant Orthopedic Surgeon,"programming, research, problem solving, documentation",Government,"design, communication, customer service, automation, python, machine learning",High,Advanced
Junior Backend Developer,"teamwork, cloud computing, customer service, automation",Misc,"project planning, automation, management, communication, documentation, programming",Medium,Intermediate
Senior Audiologist,"data analysis, automation, analytics, machine learning",Construction,"cloud computing, problem solving, python, security, communication, networking",Medium,Intermediate
Junior Pharmacist,"automation, cloud computing, teamwork, management",Agriculture,"project planning, security, research, communication, analytics, automation",High,Intermediate
Principal Gynecologist,"project planning, data analysis, customer service, machine learning",Agriculture,"design, communication, analytics, networking, research, data analysis",High,Beginner
Assistant Nurse Practitioner,"data analysis, machine learning, analytics, project planning",Healthcare,"design, python, data analysis, cloud computing, security, automation",Medium,Intermediate
Assistant Mobile App Developer,"cloud computing, machine learning, project planning, problem solving",Government,"programming, teamwork, data analysis, customer service, management, networking",Medium,Advanced
Lead Pharmacist,"design, documentation, networking, research",IT,"project planning, automation, problem solving, machine learning, customer service, programming",High,Beginner
Business Intelligence Analyst,"documentation, project planning, teamwork, data analysis",Healthcare,"problem solving, programming, security, design, python, research",Medium,Intermediate
Software Developer,"cloud computing, analytics, data analysis, problem solving",Agriculture,"problem solving, teamwork, networking, automation, research, customer service",Medium,Beginner
Junior Network Administrator,"teamwork, problem solving, security, analytics",IT,"python, networking, customer service, research, design, teamwork",Medium,Beginner
Paramedic,"communication, project planning, problem solving, machine learning",Transport,"cloud computing, management, machine learning, networking, python, automation",Medium,Beginner
Junior Robotics Engineer,"project planning, data analysis, management, design",Creative,"programming, networking, data analysis, python, design, customer service",High,Beginner
Junior Veterinarian,"networking, python, management, security",Business,"automation, management, project planning, data analysis, machine learning, teamwork",High,Intermediate
Senior Urologist,"documentation, networking, analytics, security",Education,"design, customer service, machine learning, networking, security, management",Medium,Intermediate
Assistant Home Health Aide,"machine learning, project planning, teamwork, python",Healthcare,"analytics, problem solving, networking, python, design, research",High,Intermediate
Principal Data Engineer,"communication, security, management, cloud computing",Engineering,"design, documentation, python, research, analytics, security",Medium,Intermediate
Lead Nutritionist,"research, networking, automation, python",Agriculture,"research, automation, customer service, design, cloud computing, python",High,Beginner
Senior Hospital Administrator,"cloud computing, management, machine learning, customer service",Education,"design, data analysis, problem solving, research, analytics, networking",High,Beginner
Dentist,"data analysis, security, design, python",Education,"teamwork, analytics, automation, customer service, research, python",Medium,Intermediate
Assistant Data Scientist,"research, documentation, cloud computing, analytics",Hospitality,"project planning, data analysis, communication, cloud computing, management, design",High,Intermediate
Principal Mobile App Developer,"networking, problem solving, design, automation",Construction,"project planning, problem solving, python, communication, management, programming",Medium,Advanced
Principal Site Reliability Engineer,"design, automation, programming, teamwork",Education,"design, documentation, research, problem solving, data analysis, customer service",High,Beginner
Lead Cloud Engineer,"machine learning, teamwork, cloud computing, project planning",Misc,"problem solving, cloud computing, automation, analytics, teamwork, data analysis",Medium,Advanced
Assistant Medical Researcher,"teamwork, data analysis, documentation, programming",Business,"analytics, machine learning, security, networking, python, project planning",High,Intermediate
Senior Site Reliability Engineer,"research, design, analytics, project planning",Construction,"security, data analysis, design, communication, management, python",Medium,Intermediate
Junior Site Reliability Engineer,"cloud computing, management, research, automation",Engineering,"design, documentation, communication, automation, management, python",Medium,Beginner
Principal Family Physician,"data analysis, design, python, security",Misc,"management, networking, analytics, problem solving, automation, machine learning",Medium,Advanced
Lead UI Designer,"design, communication, analytics, networking",Healthcare,"documentation, customer service, management, security, data analysis, automation",Medium,Advanced
Junior Database Administrator,"teamwork, machine learning, cloud computing, project planning",Business,"analytics, networking, project planning, management, machine learning, programming",High,Intermediate
Principal Dentist,"project planning, security, documentation, networking",Hospitality,"machine learning, communication, problem solving, automation, management, research",High,Intermediate
Junior Health Educator,"project planning, communication, management, teamwork",Construction,"automation, networking, data analysis, design, customer service, research",High,Advanced
Senior Radiologist,"data analysis, design, programming, management",Transport,"analytics, customer service, project planning, teamwork, automation, documentation",High,Advanced
Cloud Architect,"automation, programming, documentation, data analysis",Misc,"management, customer service, communication, teamwork, security, automation",High,Intermediate
Lead Mobile App Developer,"research, analytics, security, machine learning",Construction,"automation, analytics, programming, management, networking, data analysis",High,Intermediate
Junior Data Analyst,"cloud computing, design, networking, automation",Creative,"security, networking, problem solving, programming, cloud computing, communication",High,Beginner
Assistant Dentist,"automation, project planning, management, teamwork",IT,"programming, data analysis, cloud computing, problem solving, project planning, documentation",High,Intermediate
Assistant QA Engineer,"customer service, cloud computing, automation, communication",Business,"design, research, problem solving, communication, analytics, machine learning",Medium,Advanced
Junior IT Consultant,"research, data analysis, management, security",Government,"programming, python, management, cloud computing, analytics, customer service",High,Advanced
Epidemiologist,"machine learning, management, programming, security",Misc,"analytics, python, documentation, data analysis, teamwork, customer service",Medium,Intermediate
Principal Anesthesiologist,"management, problem solving, communication, teamwork",Hospitality,"python, documentation, management, security, research, programming",High,Beginner
Lead Data Scientist,"cloud computing, networking, management, project planning",Construction,"networking, design, customer service, communication, project planning, management",Medium,Beginner
Assistant Neurologist,"research, machine learning, programming, customer service",Business,"machine learning, project planning, networking, security, data analysis, analytics",High,Advanced
Senior Business Intelligence Analyst,"teamwork, networking, customer service, management",Business,"networking, project planning, research, machine learning, programming, problem solving",High,Intermediate
Lead Hospital Administrator,"programming, customer service, machine learning, teamwork",Agriculture,"customer service, management, programming, cloud computing, project planning, analytics",Medium,Intermediate
Lead Game Developer,"project planning, design, problem solving, customer service",Hospitality,"machine learning, design, communication, security, problem solving, programming",High,Beginner
Principal Immunologist,"design, automation, machine learning, cloud computing",Misc,"automation, networking, analytics, teamwork, research, machine learning",High,Intermediate
Junior Medical Researcher,"data analysis, project planning, networking, problem solving",Engineering,"teamwork, python, research, problem solving, project planning, management",Medium,Beginner
Assistant Optometrist,"teamwork, machine learning, documentation, project planning",Government,"teamwork, problem solving, python, analytics, cloud computing, networking",High,Advanced
Principal Gastroenterologist,"project planning, documentation, networking, automation",Engineering,"data analysis, documentation, analytics, research, python, automation",Medium,Advanced
Junior Radiologist,"automation, python, research, teamwork",Agriculture,"analytics, automation, cloud computing, problem solving, machine learning, customer service",High,Intermediate
Junior Security Engineer,"networking, analytics, project planning, design",Government,"teamwork, cloud computing, communication, programming, machine learning, research",High,Beginner
Database Administrator,"programming, design, machine learning, management",Education,"data analysis, research, teamwork, customer service, design, cloud computing",Medium,Advanced
Assistant Nutritionist,"research, machine learning, documentation, data analysis",Business,"python, programming, teamwork, project planning, design, machine learning",Medium,Advanced
Senior Health Educator,"research, data analysis, machine learning, problem solving",Hospitality,"analytics, programming, machine learning, design, project planning, python",Medium,Advanced
Principal Occupational Therapist,"teamwork, management, design, security",IT,"problem solving, automation, machine learning, analytics, design, networking",High,Intermediate
Assistant Pediatrician,"networking, automation, programming, analytics",Misc,"cloud computing, communication, design, teamwork, problem solving, security",High,Advanced
Junior Optometrist,"programming, documentation, design, teamwork",Transport,"programming, machine learning, problem solving, analytics, customer service, design",Medium,Intermediate
Principal Network Engineer,"customer service, analytics, research, data analysis",Hospitality,"customer service, research, security, python, design, documentation",Medium,Beginner
Senior Backend Developer,"cloud computing, communication, management, analytics",Government,"data analysis, cloud computing, automation, machine learning, documentation, security",Medium,Advanced
Data Architect,"customer service, research, programming, project planning",Education,"teamwork, project planning, programming, analytics, networking, cloud computing",Medium,Intermediate
Lead Software Developer,"teamwork, python, customer service, research",Engineering,"programming, teamwork, machine learning, automation, data analysis, security",Medium,Intermediate
Assistant Full Stack Developer,"analytics, documentation, communication, research",Transport,"networking, python, problem solving, teamwork, programming, automation",Medium,Intermediate
Junior UI Designer,"documentation, programming, problem solving, design",IT,"data analysis, networking, communication, automation, machine learning, design",High,Advanced
Junior Medical Laboratory Technician,"customer service, teamwork, problem solving, research",Government,"cloud computing, problem solving, data analysis, automation, design, customer service",High,Beginner
Junior Nutritionist,"security, project planning, analytics, management",Creative,"analytics, python, documentation, automation, cloud computing, project planning",Medium,Advanced
Lead Health Educator,"teamwork, machine learning, programming, research",Misc,"customer service, documentation, data analysis, design, project planning, cloud computing",Medium,Advanced
Principal Orthopedic Surgeon,"security, machine learning, cloud computing, teamwork",Business,"teamwork, analytics, project planning, programming, security, design",High,Beginner
Junior Business Intelligence Analyst,"programming, networking, design, communication",Misc,"management, data analysis, machine learning, cloud computing, automation, programming",Medium,Advanced
Senior Pharmacist,"teamwork, management, research, customer service",IT,"documentation, security, customer service, management, networking, teamwork",Medium,Intermediate
Senior Web Developer,"cloud computing, teamwork, automation, programming",Misc,"management, data analysis, teamwork, automation, programming, networking",Medium,Intermediate
Principal Dietitian,"management, communication, analytics, problem solving",Business,"teamwork, project planning, analytics, machine learning, cloud computing, automation",High,Beginner
Senior Clinical Psychologist,"analytics, design, programming, research",Healthcare,"networking, communication, programming, teamwork, customer service, analytics",High,Beginner
Assistant Hospital Administrator,"machine learning, problem solving, networking, project planning",Creative,"machine learning, cloud computing, customer service, communication, automation, management",Medium,Advanced
Lead Radiologist,"programming, python, project planning, problem solving",Misc,"data analysis, teamwork, cloud computing, management, customer service, documentation",Medium,Intermediate
Senior Big Data Engineer,"machine learning, documentation, analytics, security",Agriculture,"security, customer service, design, communication, teamwork, machine learning",Medium,Beginner
Lead Ethical Hacker,"design, security, management, machine learning",Education,"documentation, analytics, automation, design, networking, management",Medium,Beginner
Senior Home Health Aide,"python, project planning, problem solving, design",Hospitality,"programming, automation, problem solving, customer service, design, analytics",Medium,Beginner
Lead Android Developer,"teamwork, data analysis, analytics, machine learning",Creative,"programming, problem solving, management, networking, teamwork, design",Medium,Advanced
Principal Database Administrator,"automation, research, problem solving, customer service",Agriculture,"programming, python, documentation, research, design, automation",High,Intermediate
Senior Blockchain Developer,"communication, cloud computing, python, customer service",Misc,"networking, analytics, automation, design, machine learning, cloud computing",Medium,Advanced
Junior Medical Assistant,"automation, programming, communication, cloud computing",Business,"design, project planning, cloud computing, customer service, problem solving, teamwork",Medium,Intermediate
Principal Security Engineer,"teamwork, cloud computing, analytics, research",Construction,"project planning, security, problem solving, documentation, analytics, design",High,Advanced
Junior Nurse Practitioner,"teamwork, customer service, design, documentation",Healthcare,"research, analytics, data analysis, teamwork, communication, documentation",Medium,Beginner
Assistant Database Administrator,"research, networking, security, cloud computing",Transport,"data analysis, documentation, analytics, research, automation, security",Medium,Advanced
Assistant Emergency Medical Technician,"documentation, communication, research, python",Construction,"design, machine learning, documentation, project planning, networking, automation",High,Advanced
Senior Medical Researcher,"machine learning, networking, analytics, design",Education,"project planning, security, automation, data analysis, python, problem solving",Medium,Advanced
Principal Oncologist,"cloud computing, problem solving, customer service, analytics",Agriculture,"programming, communication, teamwork, machine learning, python, security",High,Beginner
Junior Data Architect,"documentation, data analysis, management, cloud computing",Agriculture,"design, machine learning, teamwork, problem solving, management, security",Medium,Advanced
Video Game Tester,"python, communication, programming, research",Government,"networking, problem solving, programming, documentation, project planning, python",Medium,Advanced
Lead Psychologist,"programming, design, project planning, machine learning",Misc,"data analysis, automation, python, security, project planning, design",High,Intermediate
Senior Orthopedic Surgeon,"documentation, communication, customer service, automation",Healthcare,"design, security, management, networking, data analysis, python",High,Advanced
Senior Anesthesiologist,"communication, security, cloud computing, problem solving",Misc,"problem solving, communication, machine learning, security, cloud computing, design",Medium,Beginner
Principal Pharmacist,"python, customer service, analytics, networking",Creative,"networking, data analysis, management, machine learning, programming, python",Medium,Intermediate
Senior Pharmacy Technician,"networking, machine learning, management, design",Healthcare,"project planning, machine learning, design, analytics, communication, python",High,Intermediate
Lead Big Data Engineer,"customer service, machine learning, cloud computing, project planning",Agriculture,"project planning, networking, problem solving, research, analytics, customer service",Medium,Advanced
Lead Backend Developer,"programming, customer service, data analysis, teamwork",Misc,"security, python, management, customer service, networking, programming",Medium,Beginner
Junior Cloud Engineer,"cloud computing, problem solving, programming, analytics",Agriculture,"design, data analysis, security, management, analytics, project planning",High,Beginner
Radiologist,"analytics, research, design, project planning",Engineering,"project planning, analytics, cloud computing, teamwork, design, python",Medium,Advanced
Cybersecurity Analyst,"research, problem solving, documentation, design",IT,"python, research, automation, communication, machine learning, management",Medium,Advanced
Assistant Immunologist,"research, automation, customer service, documentation",IT,"communication, design, python, customer service, teamwork, cloud computing",Medium,Beginner
Assistant Gynecologist,"programming, cloud computing, data analysis, teamwork",Misc,"problem solving, analytics, cloud computing, programming, design, data analysis",High,Advanced
Principal Systems Administrator,"python, management, communication, automation",IT,"teamwork, communication, research, customer service, networking, design",Medium,Beginner
Principal Game Developer,"cloud computing, teamwork, communication, customer service",Healthcare,"data analysis, python, research, security, analytics, project planning",Medium,Beginner
Principal Optometrist,"cloud computing, documentation, machine learning, automation",Creative,"cloud computing, communication, machine learning, networking, problem solving, analytics",High,Advanced
Ophthalmologist,"problem solving, machine learning, teamwork, design",Healthcare,"cloud computing, project planning, teamwork, customer service, documentation, design",Medium,Advanced
Lead Surgeon,"communication, research, teamwork, data analysis",Education,"teamwork, machine learning, networking, analytics, python, research",High,Intermediate
Nurse,"security, data analysis, documentation, communication",Engineering,"python, cloud computing, documentation, analytics, programming, security",Medium,Beginner
Senior Data Scientist,"management, programming, teamwork, cloud computing",Hospitality,"management, automation, project planning, python, cloud computing, problem solving",Medium,Beginner
Senior QA Engineer,"programming, security, cloud computing, management",Creative,"data analysis, analytics, research, security, networking, communication",Medium,Advanced
Family Physician,"management, machine learning, documentation, programming",Business,"cloud computing, automation, teamwork, python, research, analytics",Medium,Intermediate
UX Designer,"problem solving, networking, machine learning, automation",Education,"problem solving, management, customer service, networking, programming, python",High,Advanced
Lead Medical Researcher,"python, cloud computing, design, communication",Engineering,"networking, data analysis, programming, security, problem solving, communication",Medium,Beginner
Assistant Pharmacist,"automation, analytics, design, machine learning",Education,"communication, management, automation, customer service, data analysis, research",Medium,Intermediate
General Physician,"analytics, communication, machine learning, automation",Business,"research, cloud computing, automation, management, problem solving, programming",Medium,Intermediate
Principal Automation Engineer,"communication, security, problem solving, automation",Government,"research, analytics, management, problem solving, documentation, python",High,Advanced
Junior Orthopedic Surgeon,"management, project planning, research, teamwork",Healthcare,"documentation, networking, communication, data analysis, teamwork, problem solving",Medium,Intermediate
Senior UI Designer,"teamwork, customer service, design, security",Government,"communication, machine learning, research, documentation, problem solving, python",High,Beginner
Nurse Practitioner,"automation, python, cloud computing, management",Transport,"programming, machine learning, data analysis, analytics, customer service, automation",Medium,Intermediate
Junior Pharmacy Technician,"problem solving, analytics, communication, networking",Education,"cloud computing, python, customer service, analytics, teamwork, programming",High,Beginner
Backend Developer,"machine learning, python, cloud computing, documentation",Creative,"documentation, python, data analysis, analytics, project planning, management",High,Intermediate
Security Engineer,"networking, research, programming, management",Education,"security, programming, communication, automation, analytics, customer service",High,Beginner
Junior Clinical Psychologist,"security, automation, analytics, management",Healthcare,"documentation, teamwork, security, customer service, programming, automation",High,Intermediate
Assistant Software Architect,"research, networking, security, python",Misc,"teamwork, programming, networking, communication, analytics, automation",High,Beginner
IT Manager,"customer service, design, machine learning, documentation",Healthcare,"networking, automation, design, python, data analysis, project planning",Medium,Beginner
Medical Assistant,"networking, problem solving, cloud computing, teamwork",Engineering,"teamwork, documentation, customer service, data analysis, security, communication",High,Advanced
Junior Systems Analyst,"communication, python, teamwork, problem solving",Engineering,"documentation, design, customer service, cloud computing, automation, research",Medium,Beginner
Principal Neurologist,"management, machine learning, programming, project planning",Transport,"machine learning, data analysis, customer service, research, documentation, design",Medium,Intermediate
Lead IT Manager,"project planning, communication, design, cloud computing",IT,"problem solving, design, project planning, research, machine learning, networking",High,Beginner
Senior Mobile App Developer,"documentation, security, management, networking",Education,"communication, research, python, data analysis, machine learning, automation",High,Intermediate
Senior Respiratory Therapist,"cloud computing, networking, problem solving, design",Education,"management, research, teamwork, communication, problem solving, automation",High,Advanced
Principal Backend Developer,"machine learning, project planning, python, programming",Construction,"data analysis, security, customer service, cloud computing, documentation, teamwork",Medium,Beginner
Principal Web Designer,"communication, analytics, documentation, teamwork",Engineering,"networking, problem solving, python, management, project planning, customer service",High,Advanced
Lead Data Architect,"communication, research, programming, cloud computing",Engineering,"problem solving, security, programming, management, customer service, research",High,Intermediate
Big Data Engineer,"management, customer service, communication, python",Agriculture,"documentation, automation, data analysis, machine learning, programming, design",Medium,Beginner
Principal Epidemiologist,"machine learning, teamwork, design, cloud computing",Education,"management, problem solving, cloud computing, data analysis, networking, python",High,Advanced
Medical Researcher,"management, analytics, design, documentation",Agriculture,"communication, cloud computing, research, documentation, networking, python",Medium,Beginner
Principal Cybersecurity Analyst,"programming, management, communication, research",Agriculture,"data analysis, problem solving, design, analytics, documentation, networking",High,Advanced
Hospital Administrator,"research, communication, teamwork, programming",Transport,"documentation, automation, problem solving, machine learning, project planning, data analysis",High,Intermediate
Lead Computer Hardware Engineer,"networking, problem solving, cloud computing, customer service",Business,"research, analytics, programming, customer service, teamwork, automation",Medium,Advanced
Assistant Oncologist,"documentation, cloud computing, project planning, analytics",Hospitality,"cloud computing, project planning, security, machine learning, customer service, documentation",High,Intermediate
Assistant Software Engineer,"python, machine learning, cloud computing, teamwork",Transport,"problem solving, research, management, networking, communication, project planning",High,Intermediate
Lead Network Engineer,"cloud computing, data analysis, documentation, analytics",Transport,"management, data analysis, cloud computing, design, analytics, project planning",High,Advanced
Junior Home Health Aide,"documentation, teamwork, security, problem solving",Transport,"management, security, python, research, teamwork, analytics",High,Advanced
Lead Software Architect,"research, networking, management, automation",Education,"machine learning, communication, management, design, teamwork, problem solving",High,Intermediate
Oncologist,"project planning, problem solving, research, analytics",Education,"analytics, management, project planning, customer service, networking, research",High,Beginner
Junior Video Game Tester,"customer service, programming, communication, design",Agriculture,"communication, machine learning, data analysis, customer service, automation, management",Medium,Beginner
Junior Mobile App Developer,"communication, security, cloud computing, design",IT,"cloud computing, customer service, python, design, machine learning, problem solving",High,Beginner
Principal Nurse,"customer service, research, automation, problem solving",Business,"python, analytics, design, networking, data analysis, research",High,Advanced
Assistant Computer Hardware Engineer,"analytics, teamwork, python, networking",Business,"documentation, customer service, teamwork, cloud computing, management, programming",Medium,Advanced
Junior Software Developer,"design, customer service, analytics, teamwork",Construction,"machine learning, networking, communication, management, customer service, design",High,Advanced
Senior Cloud Engineer,"customer service, research, python, cloud computing",Construction,"project planning, python, networking, data analysis, machine learning, cloud computing",High,Intermediate
Principal Machine Learning Engineer,"machine learning, research, security, data analysis",Construction,"cloud computing, networking, automation, design, teamwork, management",Medium,Advanced
Assistant Cybersecurity Analyst,"programming, customer service, networking, cloud computing",Education,"communication, data analysis, problem solving, customer service, networking, research",High,Beginner
Assistant IT Consultant,"data analysis, security, cloud computing, design",Agriculture,"data analysis, machine learning, networking, communication, problem solving, teamwork",High,Intermediate
Senior Frontend Developer,"problem solving, python, research, communication",Transport,"teamwork, automation, research, customer service, cloud computing, analytics",Medium,Beginner
Assistant IT Manager,"management, research, security, project planning",Agriculture,"teamwork, management, analytics, project planning, python, customer service",Medium,Advanced
Lead Algorithm Engineer,"programming, design, communication, documentation",Transport,"research, problem solving, security, documentation, python, management",High,Advanced
Lead Security Engineer,"automation, machine learning, programming, analytics",Misc,"problem solving, machine learning, python, security, data analysis, analytics",Medium,Intermediate
Principal Ophthalmologist,"data analysis, teamwork, analytics, machine learning",Healthcare,"networking, python, automation, cloud computing, project planning, research",High,Beginner
Junior Gynecologist,"analytics, problem solving, documentation, teamwork",Creative,"research, teamwork, programming, project planning, networking, python",Medium,Advanced
Lead Cardiologist,"customer service, security, teamwork, project planning",Healthcare,"python, cloud computing, networking, data analysis, communication, design",High,Intermediate
Assistant Network Administrator,"programming, analytics, communication, design",Business,"machine learning, networking, teamwork, customer service, analytics, python",High,Beginner
Senior Automation Engineer,"project planning, communication, automation, documentation",IT,"documentation, networking, project planning, teamwork, customer service, analytics",Medium,Advanced
Principal Optician,"management, machine learning, problem solving, cloud computing",Engineering,"project planning, python, analytics, networking, design, research",High,Intermediate
Gynecologist,"project planning, customer service, machine learning, programming",Hospitality,"communication, programming, python, data analysis, networking, machine learning",Medium,Beginner
Lead Physical Therapist,"design, documentation, project planning, programming",Government,"networking, data analysis, security, design, problem solving, teamwork",High,Beginner
Lead DevOps Engineer,"cloud computing, analytics, research, data analysis",Construction,"security, machine learning, documentation, data analysis, management, communication",Medium,Beginner
Junior Microbiologist,"teamwork, security, python, automation",Construction,"machine learning, teamwork, automation, networking, research, problem solving",High,Intermediate
Principal Robotics Engineer,"security, data analysis, problem solving, documentation",Government,"problem solving, project planning, teamwork, automation, research, design",Medium,Intermediate
Junior Paramedic,"python, communication, cloud computing, analytics",Healthcare,"programming, security, machine learning, customer service, project planning, problem solving",Medium,Intermediate
Assistant Physical Therapist,"design, project planning, analytics, python",IT,"management, research, machine learning, automation, communication, analytics",Medium,Beginner
Junior Software Engineer,"cloud computing, python, machine learning, design",Engineering,"customer service, automation, machine learning, python, data analysis, analytics",Medium,Intermediate
Lead Business Intelligence Analyst,"networking, machine learning, teamwork, cloud computing",Healthcare,"communication, customer service, python, cloud computing, programming, data analysis",High,Advanced
Senior Data Analyst,"automation, security, documentation, problem solving",Business,"problem solving, cloud computing, design, python, analytics, communication",Medium,Beginner
Principal Midwife,"networking, data analysis, project planning, automation",Healthcare,"project planning, problem solving, data analysis, security, documentation, research",Medium,Intermediate
Senior Dermatologist,"analytics, python, teamwork, security",Government,"cloud computing, project planning, research, automation, networking, customer service",High,Beginner
Senior Full Stack Developer,"automation, networking, machine learning, python",Hospitality,"design, automation, security, programming, problem solving, networking",Medium,Beginner
Assistant Automation Engineer,"customer service, automation, cloud computing, networking",Misc,"problem solving, cloud computing, analytics, networking, python, research",High,Advanced
Principal Health Educator,"research, security, teamwork, machine learning",Business,"research, programming, analytics, python, cloud computing, management",Medium,Advanced
Emergency Medical Technician,"customer service, communication, documentation, security",Hospitality,"documentation, automation, data analysis, programming, analytics, machine learning",Medium,Advanced
Lead Full Stack Developer,"customer service, design, management, networking",Misc,"networking, data analysis, cloud computing, machine learning, analytics, design",Medium,Advanced
Principal Cardiologist,"project planning, documentation, cloud computing, networking",Construction,"documentation, security, project planning, research, communication, design",Medium,Intermediate
Principal Network Administrator,"teamwork, communication, python, design",Business,"project planning, problem solving, customer service, analytics, programming, security",High,Intermediate
Principal Radiologist,"automation, project planning, analytics, python",Government,"teamwork, communication, programming, python, security, machine learning",High,Beginner
Senior Network Administrator,"machine learning, automation, management, design",Agriculture,"automation, cloud computing, analytics, design, customer service, documentation",High,Advanced
Senior Emergency Medical Technician,"research, management, automation, data analysis",Agriculture,"problem solving, documentation, communication, machine learning, data analysis, design",Medium,Advanced
Assistant Clinical Psychologist,"cloud computing, management, documentation, python",Construction,"problem solving, documentation, machine learning, design, data analysis, security",High,Intermediate
Lead Dentist,"analytics, teamwork, communication, data analysis",Engineering,"machine learning, project planning, problem solving, documentation, customer service, management",Medium,Beginner
Junior General Physician,"problem solving, teamwork, programming, communication",Transport,"security, teamwork, research, management, programming, networking",Medium,Advanced
Senior Neurologist,"automation, analytics, design, project planning",Agriculture,"networking, research, teamwork, design, machine learning, automation",High,Intermediate
Pathologist,"problem solving, data analysis, communication, machine learning",Construction,"research, machine learning, project planning, communication, programming, security",Medium,Intermediate
Optician,"machine learning, python, teamwork, communication",Engineering,"documentation, machine learning, project planning, security, problem solving, python",Medium,Advanced
Senior Computer Network Architect,"analytics, automation, security, problem solving",Agriculture,"problem solving, security, teamwork, data analysis, project planning, python",Medium,Advanced
Principal Hospital Administrator,"cloud computing, teamwork, networking, programming",Government,"automation, python, problem solving, research, project planning, programming",High,Intermediate
QA Engineer,"customer service, cloud computing, teamwork, automation",Education,"customer service, problem solving, project planning, security, cloud computing, programming",High,Intermediate
Assistant Computer Network Architect,"python, automation, documentation, data analysis",Creative,"problem solving, programming, networking, research, automation, analytics",Medium,Beginner
Junior Neurologist,"automation, problem solving, python, documentation",Hospitality,"security, cloud computing, project planning, data analysis, research, documentation",Medium,Intermediate
Senior Embedded Systems Engineer,"automation, project planning, management, machine learning",Misc,"analytics, problem solving, cloud computing, communication, project planning, python",Medium,Intermediate
Junior Surgeon,"teamwork, data analysis, analytics, machine learning",Government,"security, programming, networking, data analysis, customer service, automation",High,Beginner
Principal Medical Researcher,"teamwork, machine learning, management, analytics",Healthcare,"networking, research, security, design, automation, python",Medium,Beginner
Junior Blockchain Developer,"machine learning, cloud computing, design, problem solving",Transport,"customer service, analytics, security, cloud computing, networking, problem solving",Medium,Intermediate
Principal UI Designer,"security, management, automation, data analysis",Education,"teamwork, design, analytics, management, machine learning, python",Medium,Intermediate
Principal Psychiatrist,"python, management, data analysis, project planning",Healthcare,"security, networking, cloud computing, data analysis, communication, customer service",Medium,Beginner
Software Architect,"networking, programming, analytics, data analysis",Hospitality,"problem solving, analytics, security, python, data analysis, machine learning",Medium,Advanced
Principal Surgeon,"communication, networking, python, management",Creative,"documentation, communication, design, customer service, programming, project planning",Medium,Intermediate
Lead Midwife,"management, problem solving, analytics, documentation",Transport,"management, data analysis, programming, communication, security, documentation",High,Beginner
Principal Blockchain Developer,"analytics, research, teamwork, communication",Transport,"data analysis, project planning, networking, cloud computing, teamwork, programming",Medium,Advanced
Principal Physiotherapist,"design, python, communication, research",Engineering,"programming, customer service, project planning, security, documentation, analytics",Medium,Intermediate
Junior Ethical Hacker,"analytics, cloud computing, python, design",Creative,"security, machine learning, problem solving, data analysis, design, customer service",High,Intermediate
Junior Cardiologist,"management, analytics, communication, design",Misc,"design, teamwork, networking, problem solving, documentation, python",Medium,Advanced
Assistant Embedded Systems Engineer,"cloud computing, design, teamwork, programming",Construction,"communication, analytics, teamwork, data analysis, customer service, problem solving",Medium,Beginner
Principal Home Health Aide,"design, customer service, communication, project planning",Misc,"data analysis, customer service, programming, research, python, teamwork",High,Intermediate
Physical Therapist,"programming, analytics, management, python",Misc,"security, teamwork, data analysis, project planning, research, python",Medium,Intermediate
Principal General Physician,"teamwork, data analysis, cloud computing, python",Misc,"programming, automation, networking, design, cloud computing, documentation",Medium,Advanced
Lead Site Reliability Engineer,"cloud computing, programming, machine learning, management",Engineering,"machine learning, data analysis, project planning, teamwork, design, problem solving",High,Intermediate
Senior Veterinarian,"cloud computing, programming, security, teamwork",Healthcare,"communication, security, analytics, teamwork, research, customer service",Medium,Advanced
Software Engineer,"design, problem solving, communication, documentation",IT,"communication, networking, customer service, analytics, design, machine learning",High,Beginner
Senior General Physician,"machine learning, programming, python, management",Healthcare,"python, documentation, networking, security, automation, cloud computing",Medium,Intermediate
Nutritionist,"machine learning, networking, python, research",Creative,"python, customer service, documentation, security, design, teamwork",Medium,Intermediate
Assistant Systems Analyst,"management, documentation, project planning, data analysis",Education,"management, customer service, design, documentation, teamwork, python",Medium,Intermediate
